"Inclui transações da Amazon Marketplace, Fulfillment by Amazon (FBA), e Amazon Webstore"
"Todas as quantias em BRL, a menos que especificado"
"Definições:"
"date/hora: data/hora da transação publicada"
"Imposto de vendas coletados: Inclui impostos sobre vendas coletados de compradores para vendas de produtos, envio e embalagem para presente."
"Tarifas de venda: Inclui tarifas de fechamento variável e tarifas de referência."
"Outras taxas de transação: Inclui cobranças retroativas de envio, retenção de envi, taxas por item e taxas de coleta de impostos de vendas."
"Outros: Inclui quantias de transação não relacionadas a pedidos. Para obter mais detalhes, consulte as colunas ""Tipo"" e ""Descrição"" para cada ID de pedido."
"Atenção: relatórios com data de início de 1º de janeiro de 2025 ou mais recentes são indexados pela data de publicação, incluem transações liberadas e diferidas e têm duas novas colunas. Pode ser necessário atualizar integrações ou mapeamentos de terceiros."
"data/hora","id de liquidação","tipo","id do pedido","sku","descrição","quantidade","mercado","tipo de conta","atendimento","cidade do pedido","estado do pedido","postal do pedido","vendas do produto","créditos de remessa","créditos de embalagem de presente","descontos promocionais","imposto de vendas coletados","tarifas de venda","taxas fba","taxas de outras transações","outro","total","Status da transação","Data de liberação da transação"
"6 de abr. de 2026 04:31:51 GMT-7","26218266861","Pedido","701-9041406-1565011","MFS-0017","Almofada Cóccix Ortopédica Assento em Gel de Silicone Lavável para Coluna Hemorroida Escritório Carro Mundo F&s","1","amazon.com.br","Visa Crédito","Amazon","Goiânia","GO","74475","77,97","0","0","0","0","-9,36","-5,00","0","0","63,61","Liberado","15 de abr. de 2026 07:10:39 GMT-7"
"6 de abr. de 2026 08:51:17 GMT-7","26219047571","Pedido","701-1348283-2061038","MFS-0017","Almofada Cóccix Ortopédica Assento em Gel de Silicone Lavável para Coluna Hemorroida Escritório Carro Mundo F&s","1","amazon.com.br","Crédito Mastercard e outros","Amazon","São Bernardo do Campo","SP","09620","77,97","0","0","0","0","-9,36","-5,00","0","0","63,61","Liberado","13 de abr. de 2026 23:24:30 GMT-7"
"6 de abr. de 2026 11:58:05 GMT-7","26110251761","Pedido","702-7590108-9894659","MFS-0027","Kit com Tigelas Americano com Tampa Plástica Sortida Potes de Vidro 150 ml 12 Unidades Mundo F&s","1","amazon.com.br","Crédito Mastercard e outros","Amazon","Araçuaí","MG","39604","76,99","0","0","0","0","-9,24","-5,00","0","0","62,75","Diferido",
"6 de abr. de 2026 12:35:45 GMT-7","26109489441","Pedido","701-4432422-4919439","MFS-0023+C","Bolsa Organizadora Para Cabos e Acessórios Eletrônicos Impermeável Estojo Multifuncional para Viagem Mundo F&s (Cinza)","1","amazon.com.br","Boleto","Amazon","Rio das Ostras","Rj","28898","39,97","5,72","0","-5,72","0","-5,60","-5,00","0","0","29,37","Diferido",
"6 de abr. de 2026 14:04:33 GMT-7","26218629861","Pedido","702-6549139-2775462","MFS-0023+C","Bolsa Organizadora Para Cabos e Acessórios Eletrônicos Impermeável Estojo Multifuncional para Viagem Mundo F&s (Cinza)","1","amazon.com.br","Boleto","Amazon","Porto Alegre","RS","90540","39,97","0","0","0","0","-5,60","-5,00","0","0","29,37","Liberado","14 de abr. de 2026 13:34:39 GMT-7"
"6 de abr. de 2026 15:43:57 GMT-7","26175647941","Transferir","","","Conta bancária com final: 964","","","Visa Crédito","","","","","0","0","0","0","0","0","0","0","-748,11","-748,11","Liberado","6 de abr. de 2026 15:43:57 GMT-7"
"6 de abr. de 2026 15:45:08 GMT-7","26176528901","Transferir","","","Conta bancária com final: 964","","","Elo","","","","","0","0","0","0","0","0","0","0","-22,17","-22,17","Liberado","6 de abr. de 2026 15:45:08 GMT-7"
"6 de abr. de 2026 15:46:33 GMT-7","26176688371","Transferir","","","Conta bancária com final: 964","","","Boleto","","","","","0","0","0","0","0","0","0","0","-576,07","-576,07","Liberado","6 de abr. de 2026 15:46:33 GMT-7"
"6 de abr. de 2026 15:47:25 GMT-7","26110232581","Transferir","","","Conta bancária com final: 964","","","Amex","","","","","0","0","0","0","0","0","0","0","-50,79","-50,79","Liberado","6 de abr. de 2026 15:47:25 GMT-7"
"6 de abr. de 2026 15:52:36 GMT-7","26176089791","Transferir","","","Conta bancária com final: 964","","","Crédito Mastercard e outros","","","","","0","0","0","0","0","0","0","0","-1.183,13","-1.183,13","Liberado","6 de abr. de 2026 15:52:36 GMT-7"
"6 de abr. de 2026 17:24:16 GMT-7","26176089791","Outros","","","Recompensa do vendedor","","Amazon.com.br","Crédito Mastercard e outros","","","","","0","0","0","0","0","0","0","0","200,00","200,00","Liberado","6 de abr. de 2026 17:24:16 GMT-7"
"7 de abr. de 2026 07:25:52 GMT-7","26219047571","Pedido","701-3105777-0704238","MFS-0017","Almofada Cóccix Ortopédica Assento em Gel de Silicone Lavável para Coluna Hemorroida Escritório Carro Mundo F&s","1","amazon.com.br","Crédito Mastercard e outros","Amazon","Niterói","RJ","24360","77,97","0","0","0","0","-9,36","-5,00","0","0","63,61","Liberado","15 de abr. de 2026 08:38:52 GMT-7"
"7 de abr. de 2026 07:28:34 GMT-7","26175647941","Pedido","702-8247649-9650653","MFS-0023+A","Bolsa Organizadora Para Cabos e Acessórios Eletrônicos Impermeável Estojo Multifuncional para Viagem Mundo F&s (Azul)","1","amazon.com.br","Visa Crédito","Amazon","Cabo Frio","RJ","28908","39,97","8,90","0","-8,90","0","-5,60","-5,00","0","0","29,37","Diferido",
"7 de abr. de 2026 08:59:50 GMT-7","26218266861","Pedido","701-5150624-0319403","MFS-0023+P","Bolsa Organizadora Para Cabos e Acessórios Eletrônicos Impermeável Estojo Multifuncional para Viagem Mundo F&s (Preto)","1","amazon.com.br","Visa Crédito","Amazon","São Paulo","SP","04205","39,97","0","0","0","0","-5,60","-5,00","0","0","29,37","Liberado","15 de abr. de 2026 07:25:31 GMT-7"
